Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Дейнеко,Маруся,Григорівна,Жінка,1957-05-14,Дантист,місто Гуляйполе,"шосе Різовська, буд. 643, Калинівка , 79601",480 20 75,albina29@example.org
Бездітко,Миколай,Володимирович,Чоловік,1983-07-27,Намотувальник,місто Камінь-Каширський,"площа Каховський, буд. 57, Сніжне, 63488",+380 58 521-01-60,demyd25@example.net
Гайдабура,Вʼячеслав,Юрійович,Чоловік,1947-06-23,Акушер,селище Косів,"шосе Дмитрія Донського, буд. 510 кв. 926, Пустомити, 72076",050 062-41-47,nestorchubai@example.com
Захарченко,Данило,Степанович,Чоловік,1979-04-06,Круп'є,село Горохів,"парк Хаджибейський 1-й, буд. 58 кв. 8, Болград, 94851",042 284-38-72,shovkopliasiustyna@example.net
Ґерус,Семен,Васильович,Чоловік,1990-06-25,М'ясник,селище Брянка,"набережна Таїрова, буд. 9, Соснівка , 44748",012 924 72 74,orkhypzakharenko@example.net
Самойленко,Ліза,Василівна,Жінка,1979-08-16,Підприємець,місто Лутугине,"парк Брестська, буд. 110, Білицьке, 26971",+380 (65) 763-18-94,jkopytko@example.org
Пʼятаченко,Давид,Сергійович,Чоловік,2004-10-01,Льотчик,селище Підгородне,"шосе Дачний, буд. 73, Слов'янськ, 93294",899 58 54,orkhypshukhevych@example.com
Скиба,Ігнат,Леонідович,Чоловік,1967-12-11,Шериф,місто Золочів,"парк Молодогвардійська, буд. 9 кв. 5, Борзна, 56156",658 35 15,baturynetszynovii@example.org
Давиденко,Альбіна,Олегівна,Жінка,1963-09-20,Паблік рилейшнз,село Стрий,"проспект Амурська, буд. 896 кв. 451, Роздільна, 36504",027 213-39-74,jromanenko@example.net
Макогон,Микита,Євгенович,Чоловік,2006-01-24,Дерун,хутір Кам'янка (Черкаська область),"набережна Марії Демченко, буд. 388, Чуднів, 34313",078 098 73 21,kalenychenkooleh@example.org
